kills,deaths,assists,kda,acs,map,agent,matchOutcome,created_at
9,15,16,1.666666667,137.5,Bind,Sage,0,2023-08-02 18:49:46
22,10,10,3.2,305.25,Ascent,Breach,1,2023-08-02 18:49:46
20,14,5,1.785714286,265.8571429,Pearl,Gekko,0,2023-08-02 18:49:46
13,8,6,2.375,251.4,Fracture,Gekko,1,2023-08-02 18:49:46
21,19,8,1.526315789,256.5217391,Split,Omen,1,2023-08-02 18:49:46
12,12,12,2,215.0588235,Bind,Brimstone,1,2023-08-02 18:49:46
16,18,3,1.055555556,201.9166667,Ascent,Omen,0,2023-08-02 18:49:46
20,13,8,2.153846154,234.0869565,Lotus,Brimstone,1,2023-08-02 18:49:46
17,18,6,1.277777778,210.5833333,Haven,Brimstone,0,2023-08-02 18:49:46
16,16,10,1.625,226.3478261,Pearl,Brimstone,0,2023-08-02 18:49:46
20,12,9,2.416666667,262.2857143,Ascent,Omen,1,2023-08-02 18:49:46
17,16,4,1.3125,257.6666667,Pearl,Brimstone,0,2023-08-02 18:49:46
12,23,8,0.8695652174,160.5833333,Fracture,Fade,0,2023-08-02 18:49:46
9,20,11,1,128.2173913,Lotus,Brimstone,0,2023-08-02 18:49:46
14,16,9,1.4375,174.5833333,Ascent,Omen,0,2023-08-02 18:49:46
14,12,5,1.583333333,174.9545455,Lotus,Brimstone,1,2023-08-02 18:49:46
15,16,2,1.0625,163.6521739,Pearl,Gekko,1,2023-08-02 18:49:46
14,8,12,3.25,227.1176471,Haven,Omen,1,2023-08-02 18:49:46
1,5,0,0.2,38.84615385,Fracture,Brimstone,0,2023-08-02 18:49:46
11,14,10,1.5,176,Ascent,Omen,1,2023-08-02 18:49:46
9,14,4,0.9285714286,179.7333333,Haven,Skye,0,2023-08-02 18:49:46
4,14,1,0.3571428571,116.5,Lotus,Phoenix,0,2023-08-02 18:49:46
23,15,0,1.533333333,282.9545455,Fracture,Chamber,1,2023-08-02 18:49:46
9,19,11,1.052631579,103.9565217,Split,Skye,1,2023-08-02 18:49:46
0,0,0,NaN,-1,Haven,Chamber,1,2023-08-02 18:49:46
12,15,2,0.9333333333,152.3809524,Ascent,Chamber,1,2023-08-02 18:49:46
14,14,10,1.714285714,203.9444444,Split,Skye,1,2023-08-02 18:49:46
7,19,11,0.9473684211,102.4347826,Pearl,Skye,0,2023-08-02 18:49:46
9,12,5,1.166666667,156.2352941,Fracture,Jett,1,2023-08-02 18:49:46
15,11,7,2,260.875,Bind,Reyna,1,2023-08-02 18:49:46
24,13,2,2,271.1304348,Lotus,Chamber,1,2023-08-02 18:49:46
13,14,4,1.214285714,146.5454545,Haven,Skye,1,2023-08-02 18:49:46
21,17,13,2,283.8181818,Bind,Brimstone,0,2023-08-02 18:49:46
27,18,5,1.777777778,298,Bind,Phoenix,0,2023-08-02 18:49:46
17,5,2,3.8,291.3333333,Lotus,Reyna,1,2023-08-02 18:49:46
17,15,0,1.133333333,189.3043478,Ascent,Chamber,1,2023-08-02 18:49:46
10,13,3,1,105.4166667,Fracture,Chamber,1,2023-08-02 18:49:46
4,16,2,0.375,92.125,Haven,Chamber,0,2023-08-02 18:49:46
10,14,17,1.928571429,116.4782609,Haven,Brimstone,1,2023-08-02 18:49:46
11,15,2,0.8666666667,146.7,Lotus,Chamber,0,2023-08-02 18:49:46
23,16,5,1.75,267.3043478,Split,Reyna,0,2023-08-02 18:49:46
15,9,4,2.111111111,246.4117647,Bind,Phoenix,1,2023-08-02 18:49:46
10,16,2,0.75,159.4210526,Pearl,Chamber,0,2023-08-02 18:49:46
29,17,2,1.823529412,293.6153846,Bind,Chamber,1,2023-08-02 18:49:46
22,21,3,1.19047619,198.2666667,Ascent,Chamber,0,2023-08-02 18:49:46
12,12,13,2.083333333,176.2777778,Lotus,Skye,1,2023-08-02 18:49:46
10,13,3,1,130.85,Ascent,Chamber,1,2023-08-02 18:49:46
11,12,14,2.083333333,166.7,Pearl,Brimstone,1,2023-08-02 18:49:46
9,13,5,1.076923077,264.9230769,Split,Sage,0,2023-08-02 18:49:46
8,17,9,1,133.9,Split,Skye,0,2023-08-02 18:49:46
17,10,8,2.5,264.1052632,Fracture,Reyna,1,2023-08-02 18:49:46
16,12,8,2,224.3,Bind,Sage,1,2023-08-02 18:49:46
12,16,2,0.875,206.9444444,Lotus,Jett,0,2023-08-02 18:49:46
14,17,7,1.235294118,159.9166667,Pearl,Brimstone,0,2023-08-02 18:49:46
14,10,7,2.1,210.7368421,Fracture,Reyna,1,2023-08-02 18:49:46
23,12,5,2.333333333,272.7272727,Ascent,Reyna,1,2023-08-02 18:49:46
15,24,11,1.083333333,161.84375,Haven,Jett,1,2023-08-02 18:49:46
17,7,11,4,267.0625,Split,Sage,1,2023-08-02 18:49:46
20,11,1,1.909090909,261.6,Ascent,Reyna,1,2023-08-02 18:49:46
14,16,8,1.375,184.4285714,Fracture,Skye,0,2023-08-02 18:49:46
10,18,5,0.8333333333,152.75,Pearl,Chamber,0,2023-08-02 18:49:46
18,11,5,2.090909091,249.9,Split,Sage,1,2023-08-02 18:49:46
11,18,7,1,158.0434783,Fracture,Gekko,0,2023-08-03 14:31:39
15,14,5,1.428571429,312.2666667,Haven,Omen,1,2023-08-03 14:31:39
9,15,5,0.9333333333,140.95,Bind,Fade,0,2023-08-03 14:31:39
17,15,1,1.2,266.6666667,Lotus,Fade,0,2023-08-03 14:47:33
10,18,7,0.9444444444,153.5,Bind,Brimstone,0,2023-08-05 10:38:04
24,13,7,2.384615385,297.7391304,Lotus,Breach,1,2023-08-05 10:38:04
10,21,10,0.9523809524,143.0833333,Fracture,Fade,0,2023-08-05 10:38:04